country_name,country_code,year,adult_obesity_pct,fruits,non_starchy_vegetables,potatoes,other_starchy_vegetables,beans_and_legumes,nuts_and_seeds,refined_grains,whole_grains,total_processed_meats,unprocessed_red_meats,total_seafoods,eggs,cheese,yoghurt_including_fermented_milk_,sugar_sweetened_beverages,fruit_juices,coffee,tea,total_carbohydrates,total_protein,saturated_fat,monounsaturated_fatty_acids,total_omega_6_fat,seafood_omega_3_fat,plant_omega_3_fat,dietary_cholesterol,dietary_fiber,added_sugars,calcium,dietary_sodium,iodine,iron,magnesium,potassium,selenium,vitamin_a_w_supplements,vitamin_b1,vitamin_b2,vitamin_b3,vitamin_b6,vitamin_b9_folate_,vitamin_b12,vitamin_c,vitamin_d,vitamin_e,zinc,total_milk
Angola,AGO,2000,3.5,37.29474202,117.7750661,0.6441613313,59.29002813,28.66651085,0.6396815972,158.1549385,52.20215255,9.964845246,15.15283145,41.90863619,3.807629549,1.448868844,10.02016812,61.28129834,21.89705198,0.1907496203,0.5430184517,59.95103958,52.73205337,11.80089169,10.11759117,2.675215029,137.7002714,651.2513781,86.14062888,13.85137615,0.03641468305,503.7733726,2070.848672,73.16069028,21.17936689,237.8843781,2106.497469,98.28107277,946.442802,1.030864834,1.287822013,11.57184389,1.282555844,212.15481,1.523261057,75.68134105,2.041836763,8.579028008,7.450403025,47.87977867
Angola,AGO,2005,4.65,78.69013492,128.1543915,25.74785771,59.62305221,29.62096414,6.193115904,221.1478508,54.44048217,5.182635215,20.61205789,42.45708627,8.449252985,1.501133654,10.74322187,163.1631174,19.72513207,0.2118633311,0.5448154396,59.63181717,55.75822861,12.01058945,10.25272022,2.695026413,145.4079642,769.1434717,102.8995584,17.60713146,0.5149688755,510.6054322,2084.082769,83.99958712,20.14110034,250.3118221,2143.852998,99.13422012,1069.519608,1.045082118,1.30478017,12.44382839,1.331996466,218.0453946,1.558870562,79.12972246,1.974338722,8.456793363,7.697973153,51.32282247
Angola,AGO,2010,6.05,118.9554676,341.5339561,488.4467929,51.63415283,37.26445827,12.10179316,225.1547633,52.22331242,3.173225233,20.76176003,68.72675877,13.87429209,1.604427389,11.41637803,188.4452149,18.83780836,2.348282354,0.546837075,59.47439084,72.57477178,12.0281396,10.31036259,2.701817042,194.1884705,792.4282159,104.7410419,30.53835535,0.7353132162,527.8008823,2092.781753,90.40761243,22.11294777,266.6718657,2199.122388,99.9435991,1026.878394,1.058001513,1.319857015,13.37285358,1.395958007,224.5801654,1.591944504,81.29774094,1.920198411,8.165606443,8.097128451,38.51360718
Angola,AGO,2015,7.7,126.2632904,330.0495752,424.1916813,52.21173003,37.64994707,15.08088372,247.2352969,49.78393468,2.095207024,19.45546449,47.81820774,3.599472877,1.710700112,10.76140546,254.6986639,16.77806944,0.7290881394,0.5446938873,60.07620437,40.03892391,10.82070728,10.17820998,2.689739071,144.5669689,755.2682756,93.45018024,29.82494685,1.623643042,451.8207464,2004.46575,72.78408733,16.03952678,298.734705,2578.606976,101.282271,1310.482599,1.05666199,1.300095824,13.39971304,1.641161069,260.4807154,1.556532411,170.1958928,1.804064307,8.037977098,7.340604714,37.51738185
Antigua and Barbuda,ATG,1990,9.3,88.59253986,197.3474136,19.40687177,44.24665331,59.16343474,0.952377804,161.7650274,29.98647894,37.86045254,27.68466642,18.0953023,14.47288865,5.285655063,16.83003692,327.4428525,22.60650563,0.0179203988,0.227341216,56.22346916,46.9265668,10.94582392,8.819919523,2.668476916,437.3279072,897.5678078,177.72651,19.85110553,7.735700265,798.876226,2442.044936,121.3363187,14.7608967,156.4375277,1663.12159,114.7002115,549.5190036,1.066531756,1.28227434,14.21908247,1.019995523,216.7481311,2.14753034,56.70872313,3.480551136,14.60328799,6.392140679,126.5052519
Antigua and Barbuda,ATG,1995,10.9,90.77560314,153.820059,11.0002696,45.14298977,56.00444254,0.07605557767,189.4513243,21.62325743,34.05993255,20.32689059,26.21215737,8.994832041,4.688812738,16.17219148,321.3564664,22.94412977,0.0319296233,0.2282478054,56.97724011,55.24719781,9.979167403,8.198279407,2.674701851,548.0332779,771.9244653,151.8966877,13.15693169,7.581266782,798.2724675,2311.192102,112.6557191,11.59002632,130.7947618,1534.115538,118.5154952,563.2101039,1.014609443,1.24672306,10.90833756,0.8331152317,190.2376393,2.136389716,49.95442053,3.528700842,14.90787771,8.643795554,129.5357839
Antigua and Barbuda,ATG,2000,12.5,95.80778523,170.6120234,6.882935484,43.90357081,56.66840015,0.07926810617,190.2499971,22.06420507,37.69709335,19.55924921,34.66621701,9.460198919,6.056967266,17.50986378,319.6999076,22.46655033,0.01805844487,0.3902205624,56.93545317,61.22506295,9.692592367,8.170121829,2.687584449,664.0524826,795.9892329,149.5912769,14.25829398,7.45688868,756.1578792,2281.235688,114.8114954,12.05675527,145.2645811,1593.054342,118.7651096,568.2676667,1.021942077,1.23556562,11.02101823,0.9265874028,214.8211529,2.128005847,53.85075965,3.491834117,14.53667256,8.51883059,120.5313471
Antigua and Barbuda,ATG,2005,14.25,105.1930493,280.7435178,28.1172495,50.23256083,42.17630145,4.318315652,241.3795798,21.58022085,40.13863544,38.5807323,49.1044286,19.17193065,8.323351837,19.37013644,239.3928448,21.99072335,0.3913533303,0.627442631,56.60205605,82.64291428,9.223277712,8.334567002,2.683769145,768.2480527,967.2486465,201.943021,26.91979691,5.494488367,686.5297609,2251.77693,131.9486224,9.768242303,188.7881592,1792.124494,114.0870787,887.6536752,1.097869767,1.256025615,15.52329111,1.183160249,259.2973005,2.131566433,83.37390311,3.540675002,14.81220999,7.692943753,118.2290629
Antigua and Barbuda,ATG,2010,16.1,102.4281447,144.0844031,28.89214049,58.76235357,33.58273353,0.1386910863,218.8296177,23.26967547,35.41016098,29.62052906,50.02574125,27.36159872,8.158792197,19.20020297,303.7166019,22.55694873,0.09994292553,0.391519675,56.50452385,90.62661373,9.917299815,8.272602107,2.683350062,760.6772623,773.0218048,184.1128476,20.02992507,7.007692108,852.7441002,2372.639799,140.6155584,12.70094305,184.0800449,1786.531662,119.4136035,695.1875988,1.094962796,1.298595944,15.79543309,1.11061367,234.796418,2.068170675,61.53877899,3.451979556,15.2669792,9.875234892,117.5851598
Antigua and Barbuda,ATG,2015,18.25,92.62659046,205.8629573,26.35275258,51.43060458,40.49195481,3.988835963,173.247737,17.2647691,40.48577974,26.18616382,45.32001966,23.79929155,8.874700414,18.26264477,291.2475782,20.99364124,0.2498064874,0.4602702305,56.89981727,92.31434675,9.616805016,8.13896978,2.675815938,749.1692282,975.4978643,177.8084311,24.69849859,6.799329784,801.8798657,2379.070245,139.8672105,12.006693,189.0043226,1803.817018,116.3237669,778.5982875,1.098214654,1.25856107,16.26089433,1.12821513,237.1710894,2.071208299,65.39964424,3.361030423,14.9154912,9.810721273,103.744633
